Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
339,Larry Nance Jr.,PF,30,NOP,50,1,22.3,3.2,5.3,0.616,0.3,0.8,0.342,3,4.5,0.662,0.641,1,1.4,0.676,1.8,4.1,5.9,1.9,0.9,0.7,0.7,2.1,7.7
340,Andrew Nembhard,SG,23,IND,55,43,26.9,3.2,7.6,0.422,1.2,3.5,0.34,2,4.1,0.493,0.501,0.5,0.5,0.867,0.5,2.2,2.7,4.1,1,0.2,1.7,2.6,8.1
341,Aaron Nesmith,SF,23,IND,55,43,24.6,3.3,8,0.416,1.5,4.2,0.349,1.9,3.8,0.49,0.508,1.6,1.8,0.87,0.8,2.9,3.8,1.2,0.8,0.4,0.9,3.4,9.7
342,Raul Neto,PG,30,CLE,41,1,10.2,1.1,2.2,0.517,0.3,0.9,0.333,0.8,1.3,0.642,0.584,0.6,0.6,0.92,0.2,0.8,1,1.4,0.4,0.1,0.3,0.9,3.1
343,Georges Niang,PF,29,PHI,57,0,19.6,3,6.8,0.443,2.1,5.2,0.404,0.9,1.6,0.573,0.598,0.5,0.6,0.875,0.3,2.1,2.4,1.1,0.4,0.2,0.7,1.9,8.6
344,Daishen Nix,PG,20,HOU,43,5,16,1.4,4,0.349,0.8,2.5,0.315,0.6,1.5,0.406,0.448,0.5,0.7,0.71,0.3,1.4,1.7,2.5,0.7,0.1,1.4,1,4.1
345,Zeke Nnaji,PF,22,DEN,44,5,13.3,2,3.5,0.572,0.3,1,0.289,1.7,2.4,0.692,0.615,0.8,1.2,0.667,1.3,1,2.3,0.3,0.3,0.4,0.5,1.8,5.1
346,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3
347,Jaylen Nowell,SG,23,MIN,62,2,19.5,4.3,9.7,0.446,1.1,3.6,0.293,3.2,6,0.537,0.501,1.2,1.6,0.784,0.5,2.1,2.6,2,0.6,0.1,1,1.5,10.9
348,Frank Ntilikina,PG,24,DAL,38,3,12.2,0.9,2.6,0.347,0.3,1.4,0.208,0.6,1.2,0.511,0.403,0.4,0.6,0.636,0.2,1.2,1.3,1.2,0.3,0.1,0.7,1.3,2.4
349,Kendrick Nunn,SG-PG,27,TOT,52,2,14.5,2.7,6.5,0.42,1.1,3.2,0.337,1.7,3.3,0.5,0.503,0.5,0.6,0.839,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7
349,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7
349,Kendrick Nunn,PG,27,WAS,13,0,17.5,3.1,6.7,0.46,1.2,3.1,0.375,1.9,3.6,0.532,0.546,0.7,0.8,0.9,0.5,1.5,2,2.5,0.6,0,1.2,1.1,8
350,Jusuf Nurki?,C,28,POR,45,45,27.3,5.2,9.8,0.524,0.9,2.2,0.39,4.3,7.6,0.563,0.568,2.6,3.8,0.686,2.3,7.2,9.4,2.9,0.9,0.9,2.4,3.6,13.8
351,Jordan Nwora,SF,24,TOT,42,3,15.8,2.1,5.4,0.39,1,2.8,0.379,1.1,2.7,0.402,0.487,0.9,1.1,0.826,0.7,2.4,3.2,1.1,0.4,0.2,0.9,0.9,6.2
351,Jordan Nwora,SF,24,MIL,38,3,15.7,2,5.2,0.386,1.1,2.7,0.392,0.9,2.5,0.379,0.487,1,1.1,0.86,0.8,2.3,3.1,1,0.3,0.2,0.9,0.9,6
351,Jordan Nwora,SF,24,IND,4,0,16.5,3.3,7.8,0.419,1,3.5,0.286,2.3,4.3,0.529,0.484,0.3,0.8,0.333,0.5,3.5,4,2.3,0.8,0,0.8,0.5,7.8
352,Royce O'Neale,SF,29,BRK,57,52,33,3.1,7.9,0.395,2.2,5.5,0.402,0.9,2.4,0.38,0.535,0.6,0.8,0.739,0.6,4.1,4.7,3.8,0.8,0.7,1.6,3.1,9.1
353,Chuma Okeke,SF,24,ORL,19,7,21.3,1.7,4.6,0.364,0.9,3.2,0.295,0.7,1.4,0.519,0.466,0.8,1.1,0.762,1.1,3,4.1,1.4,0.6,0.5,0.5,1.8,5.2
354,Josh Okogie,SG,24,PHO,52,6,15.6,2.1,5,0.424,0.8,2.2,0.345,1.4,2.8,0.486,0.5,1.5,2.2,0.699,1.5,1.8,3.3,1.2,0.7,0.4,0.9,1.5,6.6
355,Onyeka Okongwu,C,22,ATL,59,17,24.1,3.9,6.2,0.635,0,0.1,0.2,3.9,6.1,0.641,0.636,1.5,2.1,0.746,2.6,4.7,7.4,1,0.7,1.3,1,3.3,9.4
356,Isaac Okoro,SF,22,CLE,64,34,21.2,2.3,4.6,0.491,0.8,2.2,0.355,1.5,2.4,0.618,0.577,1,1.4,0.736,0.7,1.9,2.6,1.1,0.7,0.4,0.6,1.9,6.3
357,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1,0.4,0.2,0.2,0.2,1.1,1.3
358,Victor Oladipo,SG,30,MIA,28,1,27.9,3.8,9.7,0.39,1.3,4.7,0.28,2.5,5,0.493,0.458,1.5,2,0.754,0.5,2.9,3.4,3.8,1.5,0.2,1.9,2.4,10.4
359,Kelly Olynyk,C,31,UTA,50,50,28.2,4,8.1,0.495,1.5,3.6,0.41,2.6,4.6,0.561,0.585,2.6,3,0.842,1.3,4.1,5.4,3.3,1,0.6,2.2,3.8,12.1
360,Eugene Omoruyi,SF,25,OKC,23,2,11.8,1.9,4.1,0.468,0.3,1.3,0.258,1.6,2.7,0.571,0.511,0.7,1.2,0.607,1,1.3,2.3,0.5,0.6,0,0.7,2,4.9
361,Cedi Osman,SF,27,CLE,60,0,21,3.3,7.2,0.453,1.4,4.1,0.348,1.8,3.1,0.591,0.552,1,1.5,0.659,0.3,2,2.3,1.6,0.5,0.1,0.7,1.6,8.9
362,Kelly Oubre Jr.,SF,27,CHO,37,30,32.1,7.3,17.3,0.422,2.2,7.2,0.306,5.1,10.1,0.504,0.485,2.9,4,0.725,1.5,3.7,5.1,1.1,1.5,0.4,1.3,2.9,19.7
363,Chris Paul,PG,37,PHO,41,41,32.1,4.8,11.3,0.429,1.6,4.1,0.376,3.3,7.1,0.459,0.498,2.6,3.2,0.817,0.4,3.8,4.2,8.9,1.5,0.4,2.1,2.2,13.8
364,Cameron Payne,PG,28,PHO,30,14,23.2,4.4,10.8,0.41,1.7,4.5,0.381,2.7,6.3,0.432,0.489,1.3,1.8,0.736,0.3,2,2.4,4.9,0.9,0.2,2,2.1,11.9
365,Gary Payton II,PG,30,POR,15,1,17,1.6,2.7,0.585,0.6,1.1,0.529,1,1.6,0.625,0.695,0.3,0.3,1,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1
366,Theo Pinson,SG,27,DAL,33,0,7.2,0.6,1.8,0.339,0.5,1.3,0.357,0.2,0.5,0.294,0.466,0.3,0.3,0.818,0.2,0.9,1.2,0.9,0.1,0,0.3,0.7,1.9
367,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3
368,Mason Plumlee,C,32,TOT,60,58,28.1,4.6,6.8,0.677,0,0,,4.6,6.8,0.677,0.677,2.8,4.5,0.615,3.2,6.3,9.5,3.6,0.6,0.6,1.5,2.9,11.9
368,Mason Plumlee,C,32,CHO,56,56,28.5,4.7,7.1,0.669,0,0,,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2
368,Mason Plumlee,C,32,LAC,4,2,21.8,2.5,2.5,1,0,0,,2.5,2.5,1,1,2.8,3.5,0.786,1.5,6.3,7.8,2.8,0.8,0.8,1.3,3,7.8
369,Jakob Poeltl,C,27,TOT,52,51,26.2,5.3,8.4,0.632,0,0,0,5.3,8.4,0.633,0.632,1.7,2.9,0.586,3.3,5.8,9.1,3,0.9,1.2,1.9,2.7,12.3
369,Jakob Poeltl,C,27,SAS,46,46,26.1,5.2,8.4,0.616,0,0,0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9,3.1,0.8,1.1,2.1,2.6,12.1
369,Jakob Poeltl,C,27,TOR,6,5,27.2,6.2,8.2,0.755,0,0,,6.2,8.2,0.755,0.755,1.8,3.8,0.478,3.5,6.3,9.8,2.3,1.7,2,0.8,3.7,14.2
370,Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2,0.6,1.3,1.3,1.8,8.8
371,Jordan Poole,PG,23,GSW,61,38,30.7,7,16.1,0.432,2.6,8,0.33,4.4,8.2,0.532,0.514,4.1,4.7,0.862,0.4,2.4,2.8,4.6,0.8,0.2,3.3,2.7,20.7
372,Kevin Porter Jr.,PG,22,HOU,40,40,34,6.7,15.4,0.437,2.2,6.4,0.346,4.5,9,0.501,0.509,3.5,4.6,0.766,1.4,4.1,5.5,5.6,1.3,0.4,3.6,2.7,19.2
373,Michael Porter Jr.,SF,24,DEN,45,45,29.3,6.3,13.1,0.48,3,7.3,0.409,3.3,5.8,0.569,0.594,1.5,1.9,0.8,0.9,4.5,5.4,1,0.6,0.5,1.1,2.2,17
374,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5
375,Bobby Portis,PF,27,MIL,49,15,26.6,5.9,11.9,0.501,1.2,3.6,0.339,4.7,8.3,0.57,0.552,1.3,1.6,0.844,2.6,7.4,10,1.8,0.4,0.2,1.2,1.7,14.4
376,Kristaps Porzi??is,C,27,WAS,51,51,32.6,7.4,15.2,0.487,2.1,5.5,0.376,5.3,9.7,0.549,0.555,5.9,7,0.846,1.9,6.7,8.6,2.5,0.9,1.5,2.2,3.1,22.8
377,Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1,0,0,,0.7,0.7,1,1,0,0,,0.3,0.7,1,0.7,0,0,0,0.7,1.3
378,Dwight Powell,C,31,DAL,57,45,19.9,2.6,3.6,0.725,0,0.1,0,2.6,3.5,0.736,0.725,1.6,2.4,0.691,2.1,2.3,4.4,0.8,0.7,0.4,0.9,2.9,6.8
379,Norman Powell,SG,29,LAC,52,7,25.9,5.7,11.7,0.484,2.1,4.9,0.423,3.6,6.8,0.528,0.572,3.6,4.5,0.804,0.4,2.6,3,1.8,0.8,0.3,1.7,2,17
380,Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,0.439,0.4,1.4,0.278,1,1.8,0.565,0.5,0,0.2,0,0.2,1.5,1.7,2.1,0.2,0,0.8,0.5,3.2
381,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7
382,Taurean Prince,SF,28,MIN,37,2,21.3,3.2,6.4,0.496,1.4,3.4,0.397,1.8,3,0.609,0.602,0.8,1,0.833,0.3,2.1,2.4,1.6,0.5,0.4,1.2,2.4,8.5
383,Payton Pritchard,PG,25,BOS,42,2,12.8,1.9,4.6,0.404,1,2.9,0.342,0.9,1.7,0.507,0.51,0.2,0.3,0.692,0.5,1,1.5,1.1,0.3,0,0.7,0.8,4.9
384,Trevelin Queen,SG,25,IND,7,0,10,1,4.1,0.241,0.3,2.1,0.133,0.7,2,0.357,0.276,0.7,0.7,1,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3
385,Neemias Queta,C,23,SAC,4,0,6.3,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0,0.5,0,1,1.3,2.3,0.3,0,0.3,0.3,1.8,3
386,Immanuel Quickley,PG,23,NYK,61,10,27.8,4.5,10.2,0.44,1.7,4.9,0.353,2.7,5.2,0.522,0.526,2,2.5,0.821,0.7,3.4,4.1,3.1,0.8,0.2,1.1,2.1,12.7
387,Julius Randle,PF,28,NYK,62,62,35.8,8.5,18.4,0.464,2.8,8.1,0.345,5.8,10.4,0.556,0.539,5.3,6.9,0.76,2.1,8.5,10.6,4.1,0.7,0.3,2.8,3,25.1
388,Austin Reaves,SG,24,LAL,43,12,27.7,3.4,6.8,0.502,1.2,3.3,0.376,2.2,3.5,0.62,0.593,2.6,2.9,0.873,0.6,2.4,3,2.2,0.5,0.3,1.3,1.7,10.6
389,Cam Reddish,SF,23,TOT,25,13,22.9,3.3,7.4,0.451,1.1,3.4,0.326,2.2,3.9,0.561,0.527,1.6,1.7,0.907,0.4,1.3,1.7,1.3,0.9,0.4,0.8,1.7,9.3
389,Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1,0.8,0.4,0.8,1.6,8.4
389,Cam Reddish,SF,23,POR,5,5,27,4.4,9.6,0.458,2.2,6,0.367,2.2,3.6,0.611,0.573,2,2,1,0.6,1.8,2.4,2.6,1.6,0.2,1.2,2.2,13
390,Davon Reed,SG,27,TOT,38,1,8.8,0.7,2.2,0.329,0.4,1.2,0.378,0.3,1,0.27,0.433,0.4,0.6,0.667,0.3,1.3,1.5,0.6,0.4,0.1,0.5,1,2.3
390,Davon Reed,SG,27,DEN,35,1,9,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1,2.3
390,Davon Reed,SG,27,LAL,3,0,6,0.7,0.7,1,0.3,0.3,1,0.3,0.3,1,1.25,0.3,1.3,0.25,0.3,0.7,1,0.7,0.3,0,0,0.3,2
391,Paul Reed,C,23,PHI,46,0,9.4,1.3,2.3,0.575,0,0.1,0,1.3,2.2,0.598,0.575,0.3,0.5,0.727,1.2,1.9,3.1,0.3,0.7,0.6,0.6,1.8,3
392,Naz Reid,C,23,MIN,55,11,18.1,4.3,8,0.529,1,3.1,0.329,3.2,4.9,0.658,0.594,1.1,1.6,0.667,1.1,3.7,4.9,1.1,0.6,0.9,1.3,2.5,10.6
393,Jared Rhoden,SG,23,DET,1,0,12,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,1,1,0,0,0,0,3,2
394,Nick Richards,C,25,CHO,47,0,17.3,3,4.9,0.611,0,0,,3,4.9,0.611,0.611,2,2.7,0.729,2.4,3.3,5.8,0.5,0.2,1,0.8,2.3,8
395,Josh Richardson,SG,29,TOT,46,8,24.2,4.2,9.6,0.437,1.7,5,0.351,2.5,4.7,0.528,0.527,1.3,1.5,0.857,0.7,2.1,2.8,3.2,1.2,0.3,1.5,1.8,11.4
395,Josh Richardson,SG,29,SAS,42,6,23.7,4.2,9.7,0.436,1.8,4.9,0.357,2.5,4.7,0.518,0.527,1.3,1.4,0.883,0.7,2.1,2.8,3.3,1,0.3,1.5,1.7,11.5
395,Josh Richardson,SG,29,NOP,4,2,28.8,4,9,0.444,1.5,5.3,0.286,2.5,3.8,0.667,0.528,1.8,2.5,0.7,0.3,2.3,2.5,3,3.5,0.8,1.3,3.5,11.3
396,Austin Rivers,SG,30,MIN,48,10,20.8,1.9,4.3,0.446,0.9,2.5,0.355,1,1.7,0.578,0.551,0.6,0.8,0.769,0.1,1.6,1.7,1.5,0.6,0.1,0.5,1.7,5.3
397,Duncan Robinson,SF,28,MIA,31,0,17.7,2.2,6.1,0.356,1.6,4.9,0.32,0.6,1.1,0.514,0.487,0.6,0.7,0.909,0.3,1.6,1.9,1.2,0.4,0,0.7,2,6.5
398,Mitchell Robinson,C,24,NYK,40,39,27,3.2,4.7,0.688,0,0,,3.2,4.7,0.688,0.688,1,2,0.506,4.3,4.8,9.1,0.9,0.9,1.8,0.5,3,7.4
399,Orlando Robinson,C,22,MIA,29,1,13.7,1.6,3,0.535,0,0.2,0,1.6,2.8,0.568,0.535,0.7,1,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9
400,Jeremiah Robinson-Earl,PF,22,OKC,31,18,20.1,2.9,6.3,0.464,1,2.8,0.341,2,3.5,0.565,0.541,0.9,1.1,0.794,1.8,2.8,4.5,1,0.7,0.4,0.5,1.7,7.7
401,Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1,0.488,0.5,2,2.5,0.9,0.4,0.2,0.7,1.3,4.1
402,David Roddy,PF,21,MEM,48,1,17.4,2.4,5.7,0.421,0.8,2.9,0.292,1.6,2.8,0.551,0.495,0.6,1,0.625,0.6,2,2.6,0.6,0.5,0.3,0.9,1.5,6.3
403,Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1,0.3,0.8,1,0.5,0.1,0.1,1.3,0.8,1.9
404,Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6
405,Terrence Ross,SG,31,TOT,45,9,22.4,3.2,7.3,0.433,1.5,3.9,0.373,1.7,3.4,0.503,0.534,0.4,0.5,0.727,0.2,1.9,2.2,1.3,0.6,0.2,0.8,1.4,8.1
405,Terrence Ross,SG,31,ORL,42,9,22.5,3.1,7.1,0.431,1.5,3.8,0.381,1.6,3.3,0.489,0.533,0.4,0.5,0.75,0.2,1.8,2,1.3,0.6,0.2,0.9,1.3,8
405,Terrence Ross,SG,31,PHO,3,0,21.7,4.3,9.7,0.448,1.7,5.7,0.294,2.7,4,0.667,0.534,0.3,0.7,0.5,0.3,3.7,4,2,0.3,0,0,2.7,10.7
406,Terry Rozier,SG,28,CHO,51,51,35.6,7.9,19,0.413,2.7,8.1,0.328,5.2,10.9,0.477,0.483,3,3.6,0.826,0.9,3.3,4.2,4.8,1.1,0.3,2.1,1.9,21.4
407,Ricky Rubio,PG,32,CLE,16,0,16.7,1.7,5.5,0.307,0.8,3.1,0.265,0.9,2.4,0.359,0.381,0.9,1.3,0.75,0.3,2.1,2.3,3.5,1.1,0.1,0.8,1.6,5.1
408,D'Angelo Russell,PG,26,TOT,58,58,32.4,6.2,13.3,0.464,2.7,6.8,0.389,3.5,6.4,0.543,0.564,2.6,3.1,0.85,0.5,2.6,3.1,6.1,1.1,0.4,2.6,2.1,17.6
408,D'Angelo Russell,PG,26,MIN,54,54,32.9,6.3,13.5,0.465,2.7,7,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9
408,D'Angelo Russell,PG,26,LAL,4,4,24.8,4.8,10.8,0.442,1.5,4.3,0.353,3.3,6.5,0.5,0.512,2.5,3.3,0.769,0.5,3,3.5,5,0.3,0,1.5,1.3,13.5
409,Matt Ryan,SF,25,TOT,32,0,9.5,1.3,3.3,0.374,1,2.6,0.386,0.3,0.8,0.333,0.523,0.3,0.4,0.833,0.1,0.7,0.8,0.5,0.2,0,0.2,0.8,3.8
409,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1,1.2,0.3,0.2,0,0.3,1.2,3.9
409,Matt Ryan,SF,25,MIN,20,0,8.7,1.3,2.9,0.431,1,2.4,0.396,0.3,0.5,0.6,0.595,0.3,0.4,0.857,0.1,0.5,0.6,0.6,0.2,0.1,0.2,0.7,3.8
410,Domantas Sabonis,C,26,SAC,58,58,34.5,7.1,11.5,0.611,0.4,1.2,0.348,6.6,10.3,0.642,0.629,4.2,5.5,0.767,3,9.4,12.4,6.9,0.9,0.4,3,3.7,18.7
411,Dario ari?,PF,28,TOT,41,12,14.1,2,4.7,0.432,0.7,1.9,0.39,1.3,2.8,0.461,0.51,1,1.2,0.843,1,2.7,3.7,1.5,0.3,0.1,1,1.9,5.8
411,Dario ari?,PF,28,PHO,37,12,14.4,2.1,4.8,0.427,0.7,1.9,0.391,1.3,2.9,0.45,0.503,1,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1,1.9,5.8
411,Dario ari?,PF,28,OKC,4,0,11.5,1.8,3.5,0.5,0.8,2,0.375,1,1.5,0.667,0.607,1.8,1.8,1,0.8,2,2.8,0.8,0.3,0,1.5,1.8,6
412,Jordan Schakel,SF,24,WAS,2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,0,0,0.5,0.5,0,0,0.5,1.5
413,Admiral Schofield,PF,25,ORL,28,0,12.6,1.6,3.3,0.478,0.6,1.9,0.333,0.9,1.4,0.684,0.576,0.6,0.7,0.895,0.7,1.2,1.9,0.8,0.2,0.1,0.2,1.9,4.4
414,Dennis Schröder,PG,29,LAL,47,42,30.7,4,9.5,0.424,1.2,3.4,0.342,2.9,6.1,0.47,0.485,3.2,3.7,0.873,0.3,2.3,2.5,4.3,0.7,0.1,1.6,2.2,12.5
415,Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0,0,,0.2,0,0.2,0,0,0,0,0.2,0.8
416,Alperen ?engün,C,20,HOU,55,52,28.1,5.9,10.6,0.554,0.2,0.7,0.333,5.7,9.9,0.57,0.565,3,3.9,0.751,3.2,5.5,8.8,3.8,0.8,0.9,2.5,3.4,15
417,Collin Sexton,SG,24,UTA,47,15,24,4.9,9.7,0.507,1,2.5,0.41,3.9,7.2,0.54,0.559,3.4,4.2,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
418,Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,0.38,2,5.4,0.377,1,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1,1.5,9.5
419,Day'Ron Sharpe,C,21,BRK,33,2,10.4,1.7,3.1,0.545,0.1,0.2,0.667,1.5,2.9,0.537,0.564,0.5,0.8,0.593,1.7,2.2,3.8,0.8,0.2,0.5,0.9,1.9,3.9
420,Shaedon Sharpe,SG,19,POR,59,5,20.2,3.2,6.7,0.471,1,2.8,0.347,2.2,3.9,0.561,0.544,0.5,0.8,0.667,0.8,1.7,2.5,0.6,0.4,0.3,0.7,1.6,7.9
